t_s,qpos_shoulder_pan,qpos_shoulder_lift,qpos_elbow_flex,qpos_wrist_flex,qpos_wrist_roll,qpos_gripper
0.00000,0.207783,-1.597019,1.515838,0.417989,1.842398,-0.182657
0.06802,0.207783,-1.597225,1.515750,0.448428,1.842398,-0.181303
0.13603,0.207783,-1.597511,1.515627,0.487645,1.842398,-0.179949
0.20402,0.207783,-1.597821,1.515493,0.526952,1.842398,-0.179949
0.27202,0.207783,-1.598143,1.515355,0.564886,1.842398,-0.179949
0.34002,0.207783,-1.598446,1.515225,0.598511,1.842398,-0.179949
0.40802,0.207783,-1.598709,1.515112,0.626334,1.842398,-0.179949
0.47601,0.207783,-1.598939,1.515013,0.649796,1.842398,-0.179949
0.54401,0.207783,-1.599086,1.514949,0.664474,1.842398,-0.179949
0.61202,0.207783,-1.599131,1.514930,0.668880,1.842398,-0.179949
0.68002,0.207783,-1.599146,1.514923,0.670349,1.842398,-0.179949
0.74801,0.207783,-1.599071,1.514956,0.663006,1.842398,-0.179949
0.81601,0.207783,-1.598909,1.515025,0.646861,1.842398,-0.179949
0.88402,0.207783,-1.598709,1.515112,0.626334,1.842398,-0.179949
0.95202,0.207783,-1.598459,1.515219,0.599974,1.842398,-0.179949
1.02002,0.207783,-1.598195,1.515333,0.570730,1.842398,-0.179949
1.08802,0.207783,-1.597894,1.515462,0.535699,1.842398,-0.179949
1.15603,0.207783,-1.597600,1.515588,0.499282,1.842398,-0.179949
1.22403,0.207783,-1.597296,1.515719,0.458586,1.842398,-0.179949
1.29203,0.207783,-1.597019,1.515838,0.417988,1.842398,-0.179949
1.36003,0.207783,-1.596769,1.515946,0.377490,1.842398,-0.179949
1.42803,0.207783,-1.596539,1.516045,0.335651,1.842398,-0.179949
1.49603,0.207783,-1.596351,1.516126,0.296797,1.842398,-0.179949
1.56404,0.207783,-1.596195,1.516193,0.259472,1.842398,-0.179949
1.63202,0.207783,-1.596083,1.516241,0.227959,1.842398,-0.179949
1.70002,0.207783,-1.595999,1.516277,0.200796,1.842398,-0.179949
1.76802,0.207783,-1.595946,1.516300,0.180812,1.842398,-0.179949
1.83603,0.207783,-1.595916,1.516313,0.167979,1.842398,-0.179949
1.90403,0.207783,-1.595910,1.516315,0.165129,1.842398,-0.179949
1.97204,0.207783,-1.595910,1.516315,0.165129,1.842398,-0.179949
2.04004,0.207783,-1.595936,1.516304,0.176533,1.842398,-0.179949
2.10803,0.207783,-1.595976,1.516287,0.192228,1.842398,-0.179949
2.17604,0.207783,-1.596037,1.516261,0.213657,1.842398,-0.179949
2.24403,0.207783,-1.596122,1.516224,0.239411,1.842398,-0.179949
2.31203,0.207783,-1.596241,1.516173,0.270947,1.842398,-0.179949
2.38003,0.207783,-1.596384,1.516111,0.303985,1.842398,-0.179949
2.44804,0.207783,-1.596569,1.516032,0.341416,1.842398,-0.179949
2.51603,0.207783,-1.596795,1.515935,0.381824,1.842398,-0.179949
2.58404,0.207783,-1.597057,1.515822,0.423782,1.842398,-0.179949
2.65298,0.207783,-1.597349,1.515697,0.465846,1.842398,-0.179949
2.72197,0.207783,-1.597657,1.515564,0.506559,1.842398,-0.179949
2.79005,0.207783,-1.597979,1.515425,0.545909,1.842398,-0.179949
2.85804,0.207783,-1.598299,1.515288,0.582422,1.842398,-0.179949
2.92605,0.207783,-1.598583,1.515166,0.613149,1.842398,-0.179949
2.99658,0.207783,-1.598837,1.515057,0.639528,1.842398,-0.179949
3.06633,0.207783,-1.599027,1.514975,0.658601,1.842398,-0.179949
3.13860,0.207783,-1.599116,1.514936,0.667411,1.842398,-0.179949
3.20899,0.207783,-1.599146,1.514923,0.670349,1.842398,-0.179949
