t_recv_s,marker_finger_x,marker_finger_y,marker_finger_z,marker_finger_detected,marker_wrist_x,marker_wrist_y,marker_wrist_z,marker_wrist_detected
2.59751,0.113770,-0.104286,0.098062,1,0.075938,-0.062449,0.132428,1
2.63350,0.113640,-0.103865,0.097690,1,0.075801,-0.062797,0.132198,1
2.66564,0.113720,-0.104665,0.097885,1,0.076015,-0.063834,0.132520,1
2.69754,0.113858,-0.104776,0.098119,1,0.076093,-0.062832,0.132478,1
2.73356,0.113640,-0.103827,0.097739,1,0.075756,-0.062379,0.132192,1
2.76559,0.113747,-0.104274,0.097731,1,0.075989,-0.063230,0.132336,1
2.79758,0.113759,-0.104877,0.098112,1,0.075993,-0.062954,0.132508,1
2.83348,0.113825,-0.104606,0.098000,1,0.076002,-0.062330,0.132274,1
2.86552,0.113692,-0.104320,0.097765,1,0.075872,-0.062740,0.132227,1
2.89760,0.113722,-0.104253,0.097865,1,0.075970,-0.063307,0.132505,1
2.93352,0.113737,-0.104221,0.097948,1,0.075903,-0.062433,0.132351,1
2.96555,0.113602,-0.104147,0.097855,1,0.075770,-0.062817,0.132275,1
2.99748,0.113680,-0.104579,0.097944,1,0.075975,-0.063541,0.132505,1
3.03339,0.113843,-0.104742,0.098074,1,0.076060,-0.062495,0.132390,1
3.06543,0.113694,-0.103963,0.097780,1,0.075872,-0.062450,0.132219,1
3.09750,0.113713,-0.104875,0.097944,1,0.075973,-0.063518,0.132407,1
3.13332,0.113687,-0.104237,0.097912,1,0.075906,-0.063064,0.132438,1
3.16545,0.113736,-0.104328,0.097943,1,0.075956,-0.062838,0.132398,1
3.19740,0.113816,-0.104286,0.097747,1,0.076054,-0.062729,0.132270,1
3.23340,0.113706,-0.104676,0.098042,1,0.075911,-0.062988,0.132470,1
3.26553,0.113680,-0.104489,0.098044,1,0.075866,-0.062851,0.132453,1
3.29740,0.113754,-0.104359,0.097824,1,0.075948,-0.062421,0.132218,1
3.33335,0.113663,-0.104272,0.097843,1,0.075903,-0.063229,0.132378,1
3.36560,0.113836,-0.104845,0.098086,1,0.076058,-0.062807,0.132423,1
3.39736,0.113828,-0.104276,0.097840,1,0.076036,-0.062735,0.132339,1
3.43340,0.113698,-0.104216,0.097809,1,0.075879,-0.062929,0.132325,1
3.46542,0.113817,-0.104431,0.097897,1,0.076063,-0.063064,0.132405,1
3.49743,0.113756,-0.104824,0.098078,1,0.075929,-0.062696,0.132377,1
3.53339,0.113749,-0.104218,0.097819,1,0.075987,-0.063240,0.132391,1
3.56542,0.113633,-0.104873,0.098043,1,0.075820,-0.062805,0.132366,1
3.59739,0.113746,-0.104115,0.097841,1,0.075960,-0.062722,0.132337,1
3.63339,0.113712,-0.104193,0.097816,1,0.075935,-0.063153,0.132349,1
3.66540,0.113690,-0.104561,0.097929,1,0.075942,-0.063069,0.132343,1
3.69739,0.113772,-0.104214,0.097886,1,0.076023,-0.062987,0.132407,1
3.73338,0.113738,-0.104477,0.097947,1,0.075956,-0.062843,0.132382,1
3.76545,0.113750,-0.104547,0.097935,1,0.075972,-0.063072,0.132407,1
3.79736,0.113823,-0.104247,0.097834,1,0.076046,-0.062883,0.132367,1
3.83342,0.113758,-0.104567,0.097955,1,0.075970,-0.062822,0.132372,1
3.86559,0.113799,-0.104331,0.097819,1,0.076051,-0.063214,0.132368,1
3.89741,0.113687,-0.104595,0.097934,1,0.075913,-0.063120,0.132379,1
3.93342,0.113633,-0.104401,0.097946,1,0.075818,-0.062997,0.132398,1
3.96551,0.113642,-0.104664,0.098023,1,0.075815,-0.063168,0.132431,1
3.99742,0.113761,-0.104375,0.097842,1,0.075949,-0.062875,0.132338,1
4.03334,0.113763,-0.104738,0.098053,1,0.076020,-0.063227,0.132478,1
4.06545,0.113669,-0.104321,0.097893,1,0.075838,-0.062405,0.132281,1
4.09740,0.113685,-0.104066,0.097772,1,0.075878,-0.063126,0.132363,1
4.13340,0.113791,-0.104434,0.097941,1,0.076015,-0.062959,0.132444,1
4.16544,0.113749,-0.104337,0.097963,1,0.075951,-0.063102,0.132474,1
4.19739,0.113753,-0.104360,0.097831,1,0.076000,-0.063243,0.132387,1
4.23333,0.113765,-0.104469,0.097871,1,0.076045,-0.063353,0.132435,1
4.26539,0.113694,-0.104622,0.098006,1,0.075856,-0.062635,0.132354,1
4.29742,0.113767,-0.104675,0.097974,1,0.075979,-0.062674,0.132341,1
4.33332,0.113682,-0.104819,0.098018,1,0.075938,-0.063540,0.132480,1
4.36530,0.113792,-0.104178,0.097867,1,0.076013,-0.062816,0.132387,1
4.39738,0.113665,-0.104428,0.097995,1,0.075828,-0.062719,0.132404,1
4.43337,0.113719,-0.104387,0.097878,1,0.075919,-0.063060,0.132381,1
4.46543,0.113791,-0.104188,0.097807,1,0.076020,-0.063044,0.132379,1
4.49745,0.113712,-0.104701,0.098003,1,0.075947,-0.063097,0.132386,1
4.53331,0.113660,-0.104092,0.097754,1,0.075839,-0.062756,0.132262,1
4.56542,0.113693,-0.104481,0.097919,1,0.075913,-0.063217,0.132427,1
4.59739,0.113724,-0.104310,0.097979,1,0.075895,-0.062797,0.132450,1
4.63342,0.113743,-0.104527,0.097897,1,0.076003,-0.063184,0.132354,1
4.66541,0.113691,-0.104635,0.097968,1,0.075904,-0.063228,0.132438,1
4.69746,0.113738,-0.104140,0.097825,1,0.075949,-0.062839,0.132350,1
4.73342,0.113698,-0.104316,0.097951,1,0.075905,-0.063198,0.132465,1
