t_recv_s,marker_finger_x,marker_finger_y,marker_finger_z,marker_finger_detected,marker_wrist_x,marker_wrist_y,marker_wrist_z,marker_wrist_detected
0.01909,0.167141,-0.057719,0.136327,1,0.104845,-0.040122,0.147456,1
0.05540,0.167027,-0.057480,0.135617,1,0.104827,-0.040781,0.147353,1
0.08721,0.166742,-0.057191,0.134218,1,0.104671,-0.040704,0.147122,1
0.11920,0.166213,-0.057309,0.132715,1,0.104436,-0.039870,0.146661,1
0.15122,0.165782,-0.057575,0.131057,1,0.104308,-0.040159,0.146344,1
0.18718,0.165231,-0.057173,0.129253,1,0.104098,-0.040396,0.145971,1
0.21917,0.164705,-0.056994,0.127824,1,0.103885,-0.040497,0.145788,1
0.25515,0.164022,-0.057059,0.126099,1,0.103565,-0.039166,0.145167,1
0.28718,0.163536,-0.056701,0.124543,1,0.103440,-0.039150,0.144912,1
0.31921,0.163043,-0.056776,0.123065,1,0.103391,-0.039277,0.144643,1
0.35123,0.162340,-0.056542,0.121594,1,0.103055,-0.038572,0.144154,1
0.38721,0.161557,-0.056733,0.120665,1,0.102565,-0.039148,0.144152,1
0.41921,0.161172,-0.056665,0.119286,1,0.102653,-0.039378,0.143834,1
0.45520,0.160703,-0.056463,0.118297,1,0.102493,-0.039066,0.143620,1
0.48722,0.160142,-0.056568,0.117327,1,0.102251,-0.039206,0.143383,1
0.51920,0.159773,-0.056495,0.116465,1,0.102200,-0.039153,0.143194,1
0.55127,0.159501,-0.056708,0.116046,1,0.102150,-0.038917,0.143152,1
0.58712,0.159290,-0.056486,0.115433,1,0.102074,-0.038761,0.142944,1
0.61911,0.159085,-0.056549,0.115176,1,0.101983,-0.038748,0.142870,1
0.65521,0.159155,-0.056290,0.115130,1,0.102062,-0.038709,0.142916,1
0.68722,0.159155,-0.056111,0.115077,1,0.102014,-0.038500,0.142849,1
0.71920,0.158989,-0.056089,0.115151,1,0.101798,-0.038879,0.142907,1
0.75123,0.159103,-0.056408,0.115273,1,0.101958,-0.039068,0.142984,1
0.78724,0.159576,-0.055807,0.115612,1,0.102157,-0.038081,0.142886,1
0.81910,0.159672,-0.055997,0.116457,1,0.101982,-0.039059,0.143235,1
0.85530,0.160136,-0.056108,0.116848,1,0.102302,-0.039276,0.143304,1
0.88718,0.160482,-0.055822,0.117818,1,0.102292,-0.038580,0.143503,1
0.91930,0.160798,-0.056532,0.118643,1,0.102418,-0.039125,0.143684,1
0.95118,0.161430,-0.055867,0.119267,1,0.102712,-0.038663,0.143708,1
0.98717,0.162022,-0.055720,0.120453,1,0.102939,-0.038497,0.144017,1
1.01917,0.162375,-0.056012,0.121549,1,0.102936,-0.038350,0.144180,1
1.05518,0.163028,-0.055897,0.122682,1,0.103248,-0.038119,0.144330,1
1.08718,0.163530,-0.055803,0.124090,1,0.103388,-0.039092,0.144821,1
1.11916,0.164056,-0.055994,0.125324,1,0.103557,-0.037754,0.144811,1
1.15119,0.164475,-0.056166,0.127060,1,0.103606,-0.038807,0.145381,1
1.18716,0.165066,-0.056549,0.128576,1,0.103939,-0.040121,0.145876,1
1.21915,0.165622,-0.056426,0.130051,1,0.104161,-0.038737,0.145923,1
1.25514,0.166030,-0.057140,0.131988,1,0.104295,-0.040011,0.146574,1
1.28716,0.166636,-0.056816,0.133370,1,0.104626,-0.039670,0.146764,1
1.31939,0.166955,-0.057301,0.135347,1,0.104738,-0.039625,0.147188,1
1.35119,0.167163,-0.057759,0.137229,1,0.104735,-0.040698,0.147709,1
1.38719,0.167766,-0.057576,0.138708,1,0.105145,-0.040468,0.147913,1
1.41915,0.168078,-0.057487,0.140668,1,0.105248,-0.040446,0.148418,1
1.45511,0.168229,-0.057899,0.142519,1,0.105299,-0.040661,0.148828,1
1.48716,0.168625,-0.057755,0.144036,1,0.105572,-0.041418,0.149180,1
1.51915,0.168849,-0.058366,0.145988,1,0.105770,-0.041328,0.149725,1
1.55113,0.168834,-0.058918,0.147698,1,0.105791,-0.040731,0.149957,1
1.58717,0.168904,-0.058772,0.149312,1,0.105788,-0.041459,0.150373,1
1.61897,0.169257,-0.058577,0.150705,1,0.106134,-0.040971,0.150669,1
1.65516,0.169240,-0.058485,0.152227,1,0.106091,-0.041429,0.151065,1
1.68710,0.169206,-0.059099,0.153610,1,0.106145,-0.040775,0.151304,1
1.71914,0.169237,-0.059023,0.154867,1,0.106250,-0.041379,0.151656,1
1.75101,0.169240,-0.059196,0.155943,1,0.106335,-0.041226,0.151860,1
1.78715,0.169194,-0.059289,0.156875,1,0.106327,-0.041207,0.152068,1
1.81927,0.169378,-0.058630,0.157527,1,0.106439,-0.041671,0.152251,1
1.85513,0.169321,-0.058858,0.158207,1,0.106487,-0.040754,0.152335,1
1.88712,0.169257,-0.058707,0.158717,1,0.106405,-0.041551,0.152598,1
1.91913,0.169135,-0.059100,0.158781,1,0.106372,-0.041202,0.152502,1
1.95109,0.169190,-0.058912,0.158788,1,0.106405,-0.041630,0.152554,1
1.98714,0.169171,-0.059070,0.158762,1,0.106401,-0.041449,0.152552,1
2.01916,0.169318,-0.058776,0.158681,1,0.106443,-0.041651,0.152547,1
2.05516,0.169182,-0.059016,0.158326,1,0.106386,-0.041458,0.152447,1
2.08714,0.169338,-0.059355,0.157465,1,0.106525,-0.042006,0.152230,1
2.11916,0.169210,-0.058762,0.157005,1,0.106239,-0.041672,0.152140,1
2.15104,0.169205,-0.059013,0.156255,1,0.106291,-0.042169,0.152013,1
