step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
78,5.2000,-0.241844,-1.069098,0.869098,-0.069098,-0.172746,0.827254,-0.405604,-1.083460,0.901026,-0.083398,-0.232932,0.725826
79,5.2667,-0.207642,-1.059326,0.859326,-0.059326,-0.148316,0.851684,-0.378564,-1.074616,0.890282,-0.073503,-0.209342,0.750196
80,5.3333,-0.175000,-1.050000,0.850000,-0.050000,-0.125000,0.875000,-0.342985,-1.064297,0.881072,-0.062195,-0.182802,0.774567
81,5.4000,-0.144275,-1.041221,0.841221,-0.041221,-0.103054,0.896946,-0.304559,-1.053978,0.871862,-0.053714,-0.159212,0.798937
82,5.4667,-0.115804,-1.033087,0.833087,-0.033087,-0.082717,0.917283,-0.271826,-1.043660,0.862652,-0.043819,-0.135621,0.821954
83,5.5333,-0.089899,-1.025686,0.825686,-0.025686,-0.064214,0.935786,-0.241939,-1.037763,0.853442,-0.035338,-0.112031,0.844971
84,5.6000,-0.066844,-1.019098,0.819098,-0.019098,-0.047746,0.952254,-0.207783,-1.028919,0.845767,-0.026857,-0.091389,0.867987
85,5.6667,-0.046891,-1.013397,0.813397,-0.013397,-0.033494,0.966506,-0.173627,-1.020074,0.839628,-0.021203,-0.070747,0.889650
86,5.7333,-0.030259,-1.008645,0.808645,-0.008645,-0.021614,0.978386,-0.146587,-1.014178,0.835023,-0.015549,-0.053055,0.909959
87,5.8000,-0.017130,-1.004894,0.804894,-0.004894,-0.012236,0.987764,-0.122393,-1.009756,0.828883,-0.011308,-0.035362,0.928914
88,5.8667,-0.007648,-1.002185,0.802185,-0.002185,-0.005463,0.994537,-0.092506,-1.008281,0.825813,-0.004241,-0.022092,0.946515
89,5.9333,-0.001917,-1.000548,0.800548,-0.000548,-0.001370,0.998630,-0.068312,-1.003859,0.825813,-0.002827,-0.011771,0.961408
90,6.0000,0.000000,-1.000000,0.800000,0.000000,0.000000,1.000000,-0.052657,-1.002385,0.825813,-0.002827,-0.005874,0.972239
91,6.0667,0.000000,-1.001096,0.801096,0.000000,0.000000,0.998630,-0.039849,-1.002385,0.821208,-0.002827,-0.002925,0.980363
92,6.1333,0.000000,-1.004370,0.804370,0.000000,0.000000,0.994537,-0.024194,-1.002385,0.821208,-0.002827,-0.002925,0.983071
93,6.2000,0.000000,-1.009789,0.809789,0.000000,0.000000,0.987764,-0.018501,-1.002385,0.821208,-0.002827,-0.002925,0.983071
